artist_name,artist_id
Davina Leone,762
TYFI,763
Don Mills,764
Camila Cabello,765
Fifth Harmony,766
Shannon K,767
Adele,768
Josh Stanley,769
Beyoncé,770
Doje,771
Ant Saunders,772
Foster The People,773
Miley Cyrus,774
The FifthGuys,775
John Legend,776
Connor Bvrns,777
Elle King,778
R. City,779
ØMG,780
Surfaces,781
Joanna Crass,782
Alicia Keys,783
Pochin Mirkin,784
MAGIC!,785
Paul Butcher,786
Labrinth,787
Meghan Trainor,788
One Direction,789
Pitbull,790
ZAYN,791
Chris Linton,792
Louis Tomlinson,793
John Mayer,794
A Great Big World,795
Train,796
Imagine Dragons,797
BENEE,798
Herb Barclay,799
Tokyo Tav,800
Pink Sweat$,801
Urchin,802
Travis Scott,803
blackbear,804
Kanye West,805
Arizona Zervas,806
Y2K,807
Lizzo,808
Lil Tecca,809
Ali Gatie,810
Bad Bunny,811
Rauw Alejandro,812
YNW Melly,813
Lil Mosey,814
Sech,815
ROSALÍA,816
Diplo,817
Noah Cyrus,818
Bazzi,819
Dermot Kennedy,820
Summer Walker,821
Aaron Smith,822
Selena Gomez & The Scene,823
Nick Jonas,824
Demi Lovato,825
Cher Lloyd,826
Jesse McCartney,827
Bridgit Mendler,828
Austin Mahone,829
Cody Simpson,830
JoJo,831
Ashley Tisdale,832
Hannah Montana,833
The Cheetah Girls,834
Victorious Cast,835
Jordin Sparks,836
Jessie J,837
Hilary Duff,838
Madison Beer,839
Kelly Clarkson,840
Vanessa Hudgens,841
Big Time Rush,842
Little Mix,843
Hot Chelle Rae,844
The Wanted,845
The Vamps,846
Christopher Wilde,847
Zendaya,848
Miranda Cosgrove,849
Aly & AJ,850
DNCE,851
Sabrina Carpenter,852
Liam Payne,853
Pia Mia,854
The Pussycat Dolls,855
Lucy Hale,856
Glee Cast,857
Bea Miller,858
MKTO,859
Emily Osment,860
Tori Kelly,861
Avril Lavigne,862
High School Musical Cast,863
Hailee Steinfeld,864
Christina Grimmie,865
Alessia Cara,866
The Saturdays,867
Fergie,868
David Archuleta,869
Austin Moon,870
Joe Jonas,871
Julia Michaels,872
Pixie Lott,873
Rixton,874
